Amit Kumar|9111222333|111222333444|101|Single Room|2025-11-10|3|6000.0|None
Sunita Devi|9222333444|222333444555|203|Double Room|2025-11-20|4|14000.0|None
Rajesh Tiwari|9333444555|333444555666|305|Suite Room|2025-12-01|5|57500.0|WiFi
Kavita Sharma|9444555666|444555666777|102|Single Room|2025-12-15|2|4000.0|None
Manoj Yadav|9555666777|555666777888|404|Deluxe Room|2025-12-22|3|16500.0|None
Pooja Mishra|9666777888|666777888999|301|Single Room|2026-01-05|4|8000.0|None
Ravi Shankar|9777888999|777888999000|206|Suite Room|2026-01-12|7|80500.0|WiFi
Anjali Saxena|9888999000|888999000111|103|Double Room|2026-01-25|3|10500.0|None
Suresh Pandey|9999000111|999000111222|304|Deluxe Room|2026-02-03|5|27500.0|None
Nisha Agarwal|9000111222|000111222333|502|Single Room|2026-02-14|2|5000.0|WiFi
Vivek Chauhan|9112233445|112233445566|106|Suite Room|2026-02-20|4|46000.0|WiFi
Rekha Bhat|9223344556|223344556677|402|Double Room|2026-03-01|3|10500.0|None
Sanjay Mehta|9334455667|334455667788|205|Deluxe Room|2026-03-10|6|42000.0|WiFi + Breakfast
Divya Iyer|9445566778|445566778899|503|Double Room|2026-03-15|2|7000.0|None
Raghav Kapoor|9556677889|556677889900|401|Single Room|2026-03-22|5|10000.0|None
Geeta Pillai|9667788990|667788990011|305|Suite Room|2026-04-01|3|34500.0|WiFi
Harish Jain|9778899001|778899001122|101|Single Room|2025-10-05|2|4000.0|None
Lakshmi Rao|9889900112|889900112233|404|Deluxe Room|2025-10-12|4|22000.0|None
Mohan Gupta|9990011223|990011223344|203|Double Room|2025-10-20|3|10500.0|None
Fatima Begum|9001122334|001122334455|506|Double Room|2025-11-03|5|17500.0|None
Sachin Patil|9112233446|112233446677|305|Suite Room|2025-11-15|6|69000.0|WiFi
Bhavna Shah|9223344557|223344557788|102|Single Room|2025-12-08|3|6000.0|None
Ramesh Iyer|9334455668|334455668899|205|Deluxe Room|2025-12-28|4|28000.0|WiFi + Breakfast
Tara Singh|9445566779|445566779900|403|Double Room|2026-01-15|2|7000.0|None
Gaurav Malhotra|9556677880|556677880011|106|Suite Room|2026-01-22|5|57500.0|WiFi
Swati Desai|9667788991|667788991122|301|Single Room|2026-02-08|3|6000.0|None
Nikhil Pande|9778899002|778899002233|504|Deluxe Room|2026-02-25|4|22000.0|None
Asha Kumari|9889900113|889900113344|402|Double Room|2026-03-05|5|17500.0|None
Devendra Joshi|9990011224|990011224455|201|Single Room|2026-03-18|2|4000.0|None
Mandira Sen|9001122335|001122335566|405|Deluxe Room|2026-03-28|3|21000.0|WiFi + Breakfast
Prakash Nair|9112233447|112233447788|506|Double Room|2026-04-02|4|16000.0|WiFi
Usha Reddy|9223344558|223344558899|101|Single Room|2026-04-04|2|4000.0|None
guesttest|123|123456789123|206|Suite Room|2026-04-08|1|13500.0|WiFi
guest123|1234|123456789123|206|Suite Room|2026-04-08|1|13500.0|WiFi
